Timestamp,FPS,Inference Time (s),Latency (s),RAM Usage (%),CPU Usage (%),GPU Usage (%)
2025-07-03T09:52:22.172825,3.83,0.0912,0.0986,85.4,12.6,33.0
2025-07-03T09:52:22.444161,3.83,0.0918,0.1001,85.5,18.0,33.0
2025-07-03T09:52:22.703891,3.83,0.0899,0.0972,85.5,14.9,33.0
2025-07-03T09:52:22.965616,3.83,0.0946,0.1016,85.5,14.4,33.0
2025-07-03T09:52:23.230123,3.83,0.0906,0.0986,85.5,8.7,33.0
2025-07-03T09:52:23.480584,3.83,0.0896,0.0966,85.5,8.9,33.0
2025-07-03T09:52:23.746246,3.83,0.0923,0.1009,85.5,12.3,37.0
2025-07-03T09:52:23.993858,3.83,0.0887,0.0962,85.5,6.6,37.0
2025-07-03T09:52:24.258797,3.83,0.0908,0.0994,85.5,7.5,37.0
2025-07-03T09:52:24.527361,3.83,0.1009,0.1095,85.4,7.7,37.0
2025-07-03T09:52:24.787886,3.83,0.0916,0.1001,85.5,8.7,34.0
2025-07-03T09:52:25.052619,3.83,0.1031,0.1112,85.4,8.9,34.0
2025-07-03T09:52:25.300436,3.83,0.0911,0.0996,85.5,8.6,34.0
2025-07-03T09:52:25.563462,3.83,0.0925,0.1015,85.5,10.5,34.0
2025-07-03T09:52:25.838360,3.83,0.0915,0.1005,85.5,13.6,34.0
2025-07-03T09:52:26.096860,3.83,0.0924,0.0999,85.5,11.6,34.0
2025-07-03T09:52:26.363793,3.83,0.0938,0.1013,85.5,21.4,34.0
2025-07-03T09:52:26.627783,3.83,0.0893,0.0973,85.5,32.8,36.0
2025-07-03T09:52:26.891567,3.83,0.0935,0.104,85.5,17.1,36.0
2025-07-03T09:52:27.157766,3.83,0.0944,0.1044,85.5,11.3,36.0
2025-07-03T09:52:27.455549,3.83,0.1196,0.1276,85.5,13.6,36.0
2025-07-03T09:52:27.716787,3.83,0.0925,0.0999,85.5,16.0,35.0
2025-07-03T09:52:27.980739,3.83,0.1023,0.1098,85.5,10.3,35.0
2025-07-03T09:52:28.263854,3.83,0.108,0.1188,85.5,8.4,35.0
2025-07-03T09:52:28.523978,3.82,0.0918,0.0998,85.5,9.5,35.0
2025-07-03T09:52:28.776143,3.82,0.0962,0.1027,85.5,8.9,7.0
2025-07-03T09:52:29.038121,3.83,0.0892,0.0957,85.5,9.9,7.0
2025-07-03T09:52:29.309287,3.83,0.0935,0.1006,85.5,9.8,7.0
2025-07-03T09:52:29.577399,3.82,0.0921,0.1002,85.5,8.5,7.0
2025-07-03T09:52:29.847591,3.82,0.0981,0.1061,85.5,12.1,8.0
2025-07-03T09:52:30.111752,3.82,0.0912,0.1002,85.5,21.2,8.0
2025-07-03T09:52:30.383661,3.82,0.0921,0.1003,85.5,16.5,8.0
2025-07-03T09:52:30.639454,3.82,0.0893,0.0994,85.5,13.9,35.0
2025-07-03T09:52:30.901640,3.82,0.0994,0.1079,85.5,16.5,35.0
2025-07-03T09:52:31.166069,3.82,0.0974,0.1054,85.5,14.5,35.0
2025-07-03T09:52:31.430658,3.82,0.0933,0.1021,85.5,11.6,35.0
2025-07-03T09:52:31.679810,3.82,0.0875,0.0967,85.5,13.0,35.0
2025-07-03T09:52:31.929630,3.82,0.0916,0.0987,85.4,11.3,35.0
2025-07-03T09:52:32.190141,3.82,0.097,0.1075,85.5,19.0,35.0
2025-07-03T09:52:32.459303,3.82,0.0903,0.1001,85.4,14.2,35.0
2025-07-03T09:52:32.733648,3.82,0.1034,0.111,85.4,9.9,34.0
2025-07-03T09:52:33.012771,3.82,0.099,0.107,85.4,7.8,34.0
2025-07-03T09:52:33.264233,3.82,0.0869,0.0962,85.4,6.4,34.0
2025-07-03T09:52:33.517497,3.82,0.0936,0.1016,85.4,10.0,34.0
2025-07-03T09:52:33.795863,3.82,0.1097,0.1169,85.4,7.8,37.0
2025-07-03T09:52:34.061775,3.82,0.0962,0.1044,85.4,9.2,37.0
2025-07-03T09:52:34.326271,3.82,0.0922,0.1002,85.5,9.2,37.0
2025-07-03T09:52:34.588226,3.82,0.0898,0.0978,85.4,11.1,34.0
2025-07-03T09:52:34.856659,3.82,0.094,0.103,85.4,9.4,34.0
2025-07-03T09:52:35.116881,3.82,0.0934,0.1014,85.4,11.5,34.0
2025-07-03T09:52:35.367881,3.82,0.0923,0.1,85.4,11.9,34.0
2025-07-03T09:52:35.641698,3.82,0.0961,0.1046,85.4,7.9,35.0
2025-07-03T09:52:35.897380,3.82,0.0907,0.0992,85.4,12.6,35.0
2025-07-03T09:52:36.160252,3.82,0.0915,0.098,85.4,9.7,35.0
2025-07-03T09:52:36.427529,3.82,0.0852,0.0934,85.4,18.0,35.0
2025-07-03T09:52:36.690366,3.82,0.0958,0.1039,85.4,13.2,75.0
2025-07-03T09:52:36.969606,3.82,0.097,0.1052,85.5,17.1,75.0
2025-07-03T09:52:37.219211,3.82,0.0934,0.1011,85.5,16.8,75.0
2025-07-03T09:52:37.485195,3.82,0.0941,0.1017,85.4,9.4,75.0
2025-07-03T09:52:37.734995,3.82,0.0912,0.0987,85.5,26.5,7.0
2025-07-03T09:52:37.985167,3.82,0.0895,0.0958,85.4,15.3,7.0
2025-07-03T09:52:38.262507,3.82,0.0932,0.1018,85.4,13.2,7.0
2025-07-03T09:52:38.513540,3.82,0.0909,0.098,85.4,8.4,7.0
2025-07-03T09:52:38.779467,3.82,0.0901,0.0999,85.5,11.3,34.0
2025-07-03T09:52:39.040455,3.82,0.0885,0.0986,85.5,12.0,34.0
2025-07-03T09:52:39.304463,3.82,0.0934,0.1034,85.5,9.7,34.0
2025-07-03T09:52:39.578315,3.82,0.0983,0.1063,85.5,8.8,34.0
2025-07-03T09:52:39.835354,3.82,0.0915,0.1015,85.5,8.5,34.0
2025-07-03T09:52:40.100197,3.82,0.0956,0.1031,85.5,8.5,34.0
2025-07-03T09:52:40.366430,3.82,0.0927,0.1038,85.5,11.6,34.0
2025-07-03T09:52:40.615911,3.82,0.0874,0.0945,85.5,12.8,33.0
2025-07-03T09:52:40.898371,3.82,0.1104,0.1186,85.6,11.2,33.0
2025-07-03T09:52:41.161748,3.82,0.092,0.1015,85.5,12.2,33.0
2025-07-03T09:52:41.429113,3.82,0.095,0.1033,85.5,12.5,33.0
2025-07-03T09:52:41.677917,3.82,0.0889,0.0974,85.4,13.4,34.0
2025-07-03T09:52:41.927488,3.82,0.0888,0.0965,85.4,12.6,34.0
2025-07-03T09:52:42.208588,3.82,0.0925,0.101,85.5,13.7,34.0
2025-07-03T09:52:42.459916,3.82,0.0871,0.0948,85.4,11.0,34.0
2025-07-03T09:52:42.711517,3.82,0.0865,0.0945,85.4,10.6,33.0
2025-07-03T09:52:42.977674,3.82,0.0944,0.1021,85.4,15.7,33.0
2025-07-03T09:52:43.241755,3.82,0.0922,0.0987,85.4,11.1,33.0
2025-07-03T09:52:43.503869,3.82,0.0935,0.1016,85.5,9.8,33.0
2025-07-03T09:52:43.769279,3.82,0.0894,0.097,85.5,10.3,39.0
2025-07-03T09:52:44.030471,3.82,0.0902,0.0988,85.5,8.2,39.0
2025-07-03T09:52:44.280539,3.82,0.0904,0.0982,85.5,14.6,39.0
2025-07-03T09:52:44.534450,3.82,0.093,0.1015,85.5,6.5,39.0
2025-07-03T09:52:44.796987,3.82,0.0878,0.0968,85.4,11.4,34.0
2025-07-03T09:52:45.064002,3.82,0.0954,0.104,85.4,17.1,34.0
2025-07-03T09:52:45.351690,3.82,0.0948,0.1031,85.4,9.3,34.0
2025-07-03T09:52:45.607343,3.82,0.0935,0.1001,85.4,8.0,34.0
2025-07-03T09:52:45.869509,3.82,0.0924,0.1025,85.4,12.9,34.0
2025-07-03T09:52:46.134815,3.82,0.0923,0.1026,85.4,10.9,34.0
2025-07-03T09:52:46.384584,3.82,0.0905,0.0977,85.5,9.5,34.0
2025-07-03T09:52:46.655729,3.82,0.0923,0.1,85.5,10.2,35.0
2025-07-03T09:52:46.912521,3.82,0.0916,0.0991,85.4,17.3,35.0
2025-07-03T09:52:47.178356,3.82,0.1056,0.1151,85.4,20.0,35.0
2025-07-03T09:52:47.441686,3.82,0.0949,0.1039,85.5,41.3,35.0
2025-07-03T09:52:47.706231,3.82,0.0918,0.1002,85.4,25.9,31.0
2025-07-03T09:52:47.969577,3.82,0.0948,0.1014,85.4,16.8,31.0
2025-07-03T09:52:48.236482,3.82,0.0873,0.098,85.3,16.0,31.0
2025-07-03T09:52:48.487915,3.82,0.0892,0.0979,85.3,10.3,31.0
2025-07-03T09:52:48.736903,3.82,0.0875,0.0965,85.3,18.5,8.0
2025-07-03T09:52:49.002620,3.82,0.0988,0.1059,85.4,6.8,8.0
2025-07-03T09:52:49.267436,3.82,0.0923,0.1019,85.3,9.9,8.0
2025-07-03T09:52:49.532586,3.82,0.0999,0.1079,85.5,18.2,8.0
2025-07-03T09:52:49.803498,3.82,0.0931,0.1011,85.3,10.7,8.0
2025-07-03T09:52:50.061890,3.82,0.0951,0.1026,85.4,12.5,8.0
2025-07-03T09:52:50.311659,3.82,0.0914,0.1004,85.4,12.6,8.0
